index,provstate,SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2018,POPEST18PLUS2018,PCNT_POPEST18PLUS,per_capita,state,description,Latitude,Longitude
New York,18,40,1,2,36,New York,19542209,15474107,79.2,9.21083179491121,New York,Albany,42.652843,-73.757874
Florida,13,40,3,5,12,Florida,21299325,17070244,80.1,6.103479805111195,Florida,Tallahassee,30.438118,-84.281296
California,9,40,4,9,6,California,39557045,30567090,77.3,2.2751952275504905,California,Sacramento,38.576668,-121.493629
Texas,8,40,3,7,48,Texas,28701845,21303746,74.2,2.7872772638832104,Texas,Austin,30.27467,-97.740349
Washington,6,40,4,9,53,Washington,7535591,5872306,77.9,7.962215571413045,Washington,Olympia,47.035804999999996,-122.905014
Pennsylvania,6,40,1,2,42,Pennsylvania,12807060,10158149,79.3,4.68491597603197,Pennsylvania,Harrisburg,40.264378,-76.88359799999999
Missouri,6,40,2,4,29,Missouri,6126452,4749622,77.5,9.793596685324557,Missouri,Jefferson City,38.579201,-92.172935
Louisiana,5,40,3,7,22,Louisiana,4659978,3564062,76.5,10.72966438897351,Louisiana,Baton Rouge,30.457069,-91.187393
Iowa,5,40,2,4,19,Iowa,3156145,2425378,76.8,15.842111183104706,Iowa,Des Moines,41.591087,-93.603729
Nevada,5,40,4,8,32,Nevada,3034392,2345395,77.3,16.477765562260906,Nevada,Carson City,39.163914,-119.766121
North Carolina,4,40,3,5,37,North Carolina,10383620,8082975,77.8,3.852221094377491,North Carolina,Raleigh,35.780429999999996,-78.639099
Indiana,4,40,2,3,18,Indiana,6691878,5123748,76.6,5.9773952842535385,Indiana,Indianapolis,39.768623,-86.162643
Virginia,4,40,3,5,51,Virginia,8517685,6647893,78.0,4.69611167823182,Virginia,Richmond,37.538857,-77.43364
Nebraska,3,40,2,4,31,Nebraska,1929268,1452427,75.3,15.5499391479048,Nebraska,Lincoln,40.808075,-96.69965400000001
Massachusetts,3,40,1,1,25,Massachusetts,6902149,5535291,80.2,4.346472381282989,Massachusetts,Boston,42.358162,-71.063698
Illinois,2,40,2,3,17,Illinois,12741080,9883814,77.6,1.569725643352055,Illinois,Springfield,39.798363,-89.654961
Ohio,2,40,2,3,39,Ohio,11689442,9096117,77.8,1.7109456550620636,Ohio,Columbus,39.961346,-82.99906899999999
New Mexico,2,40,4,8,35,New Mexico,2095428,1613275,77.0,9.544589458573618,New Mexico,Santa Fe,35.68224,-105.939728
Minnesota,2,40,2,4,27,Minnesota,5611179,4308564,76.8,3.564313310981525,Minnesota,St. Paul,44.955096999999995,-93.102211
Oregon,2,40,4,9,41,Oregon,4190713,3317146,79.2,4.772457574641833,Oregon,Salem,44.938461,-123.030403
Tennessee,2,40,3,6,47,Tennessee,6770010,5263790,77.8,2.9542053852209964,Tennessee,Nashville,36.16581,-86.78424100000001
Kentucky,2,40,3,6,21,Kentucky,4468402,3459573,77.4,4.4758730302242276,Kentucky,Frankfort,38.186721999999996,-84.875374
New Jersey,2,40,1,2,34,New Jersey,8908520,6954877,78.1,2.2450418251292024,New Jersey,Trenton,40.220596,-74.769913
Michigan,1,40,2,3,26,Michigan,9995915,7831247,78.3,1.0004086669404453,Michigan,Lansing,42.733635,-84.555328
Idaho,1,40,4,8,16,Idaho,1754208,1307236,74.5,5.700578266659369,Idaho,Boise,43.617775,-116.199722
Maryland,1,40,3,5,24,Maryland,6042718,4702570,77.8,1.6548844410743642,Maryland,Annapolis,38.978764,-76.490936
Mississippi,1,40,3,6,28,Mississippi,2986530,2280389,76.4,3.348367503423706,Mississippi,Jackson,32.303847999999995,-90.182106
North Dakota,1,40,2,4,38,North Dakota,760077,581379,76.5,13.15656176939968,North Dakota,Bismarck,46.82085,-100.78331800000001
Colorado,1,40,4,8,8,Colorado,5695564,4430329,77.8,1.7557523714947283,Colorado,Denver,39.739227,-104.98485600000001
Kansas,1,40,2,4,20,Kansas,2911505,2205544,75.8,3.434649777348828,Kansas,Topeka,39.048190999999996,-95.67795600000001
