year,table,category,file_format,url
2013,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/12018/download
2013,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/12050/download
2014,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/18197/download
2014,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/18198/download
2015,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/20053/download
2015,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/20054/download
2016,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/22251/download
2016,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/22252/download
2017,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/24346/download
2017,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/24347/download
2018,A1,federal-wiretaps,xlsx,https://www.uscourts.gov/file/26443/download
2018,B1,state-wiretaps,xlsx,https://www.uscourts.gov/file/26444/download
2018,1,summary-jurisdictions-with-statutes,xlsx,https://www.uscourts.gov/file/26437/download
2018,2,summary-intercept-orders-by-judges,xlsx,https://www.uscourts.gov/file/26438/download
2018,3,summary-major-offenses-for-intercepts,xlsx,https://www.uscourts.gov/file/26439/download
2018,4,summary-interceptions,xlsx,https://www.uscourts.gov/file/26440/download
2018,5,summary-avg-cost-per-order,xlsx,https://www.uscourts.gov/file/26441/download
2018,6,summary-surveillance-types,xlsx,https://www.uscourts.gov/file/26442/download
2018,7,summary-authorized-intercepts,xlsx,https://www.uscourts.gov/file/26445/download
2018,8,summary-supplementary-prior-years,xlsx,https://www.uscourts.gov/file/26446/download
2018,9,summary-arrests-convictions,xlsx,https://www.uscourts.gov/file/26447/download
