artist_name,playlists_in,total,percent_in,genres
Various Artists,10,24,41.66666666666667,"pop punk, punk, socal pop punk"
Bayside,7,24,29.166666666666668,"anthem emo, pixie, pop emo, pop punk"
Taking Back Sunday,6,24,25.0,"alternative emo, dreamo, emo, modern rock, pop punk, post-hardcore, screamo"
Trash Boat,6,24,25.0,"metalcore, pop punk, post-screamo, screamo"
Neck Deep,6,24,25.0,"punk, ska punk, skate punk"
Stand Atlantic,6,24,25.0,"anthem emo, easycore, melodic hardcore"
Alexisonfire,6,24,25.0,"canadian folk, canadian pop, electropop, indie poptimism, indietronica"
WSTR,5,24,20.833333333333336,post-screamo
Real Friends,5,24,20.833333333333336,"canadian punk, hamilton on indie, indie punk"
The Menzingers,5,24,20.833333333333336,"alternative emo, emo, heartland rock, indie punk, melodic hardcore, modern rock, orgcore, philly indie, pop punk, skate punk"
